GeoName,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
South Carolina,Millions of chained 2012 dollars,139526.3,146104.4,150156.4,151015.9,155275.1,161269.3,164083.4,169488.5,173370.9,178474.6,176567.6,168851.8,172131,176083.2,177618.1,180881.6,185986.9,192019.9,198005.7,202512.4,207101.2,213237.8,208234.1,221045,226420.1
South Dakota,Millions of chained 2012 dollars,26440.4,27463.4,29386.1,29455.2,32784.9,32979.1,34269.6,35842.2,36350.8,37755.9,39080.8,39987.3,40369.6,43049.5,43901.5,44147.4,44846.5,45664.5,46076,45775.8,46300.3,46650.5,47402.4,49557.9,49809.2
Tennessee,Millions of chained 2012 dollars,223711.3,230895.6,233732.2,233362.5,240971.7,248993.8,260553.5,268391.7,274879.2,273224,274571.1,264737.1,268449.8,276898.3,286341.5,289794.6,294130.1,304484.2,310143.2,318963.9,323541.6,331176.6,323454,352461.2,367776
Texas,Millions of chained 2012 dollars,925556.7,961513.2,995661.2,1020538,1043567,1050609,1109477,1141374,1228547,1286193,1282089,1277295,1309962,1353600,1421180,1484700,1529617,1605902,1619954,1659453,1728304,1779781,1747562,1815064,1876328
Utah,Millions of chained 2012 dollars,85724.8,89282,92498.4,93556.7,95383.1,97017.3,102846.7,110046.4,118482.3,123835.3,124225.5,121431.4,123902.2,127992.5,129512.5,133112.9,136993.7,141720.5,147962.3,154758.3,164622.1,172038.4,174954.7,186910,191965.2
Vermont,Millions of chained 2012 dollars,20678,21830.2,23016.8,23752.4,24570.1,25464.9,26855.2,26995.6,27128.8,26886.7,27758.4,27222,28403.7,29013.5,29241.3,28681.5,28912.2,29119,29408.1,29490.6,29602.2,29940.7,29064.6,30546.8,31395.3
Virginia,Millions of chained 2012 dollars,315091,332373.3,348327,360601.1,364932.4,377723.8,392941.3,412084.6,419870.6,424939.5,431216.7,427648.9,441242.4,444288,445973.6,449063.8,447678.1,455162.4,459965.8,467362,477915.2,489199.1,478909.3,505351,512946.3
Washington,Millions of chained 2012 dollars,288206.9,308949.5,311209.9,303673.8,307583.2,312556.4,319848.9,340428,353263.5,373180.6,381289.9,370136.6,380989.5,387745.2,400530.6,410873.9,424467.6,441952.1,458263.8,482007,515029.1,533150.4,538856.1,575129,582171.6
West Virginia,Millions of chained 2012 dollars,59847.4,61783.9,61665.7,61818.6,62834.1,63145.5,64159.8,65678.4,66861.4,67119.1,68483.9,68191.8,69153.5,70361.3,70322.2,70550.1,70532.5,70663,70011.4,71425.6,73170.4,72633.4,70444.2,71343.2,71652.4
Wisconsin,Millions of chained 2012 dollars,216955.9,225783.7,232411.7,236088.7,240543.3,247766.1,256167.4,263698.6,268246.4,269933.6,266626.9,258761.2,266830.8,272813.2,277107.1,278015,283981.1,289077,291920.3,291922.7,299062.6,303669,293104.9,306467.4,311702.1
Wyoming,Millions of chained 2012 dollars,25530.4,26597.7,27435,29130.5,29777.1,30673.2,31695.7,33484,37813.4,40632.2,42868.2,41546.4,40056.6,39767.9,38855.4,38849.6,39559.4,40418.2,38188.7,37521.6,38080.1,38446.6,36268.6,36400,36346.1
